activity_zone_id,name,centroid_x,centroid_y,geometry,centroid,total_poi_count,residential_poi_count,office_poi_count,shopping_poi_count,school_poi_count,parking_poi_count,boundary_node_count,total_production,total_attraction
40,Gate4,-76.96443,38.99417,,POINT (-76.96443 38.99417),0,0,0,0,0,0,112,1120.0,1120.0
41,Gate5,-76.96443,39.000510000000006,,POINT (-76.96443 39.000510000000006),0,0,0,0,0,0,6,60.0,60.0
42,Gate6,-76.96443,39.00685,,POINT (-76.96443 39.00685),0,0,0,0,0,0,3,30.0,30.0
43,Gate7,-76.95809,39.013189999999994,,POINT (-76.95809 39.013189999999994),0,0,0,0,0,0,0,0.0,0.0
44,Gate8,-76.95175,39.013189999999994,,POINT (-76.95175 39.013189999999994),0,0,0,0,0,0,1,10.0,10.0
45,Gate9,-76.94541,39.013189999999994,,POINT (-76.94541 39.013189999999994),0,0,0,0,0,0,53,530.0,530.0
46,Gate10,-76.93907,39.013189999999994,,POINT (-76.93907 39.013189999999994),0,0,0,0,0,0,33,330.0,330.0
47,Gate11,-76.93272999999999,39.013189999999994,,POINT (-76.93272999999999 39.013189999999994),0,0,0,0,0,0,13,130.0,130.0
48,Gate12,-76.92639,39.013189999999994,,POINT (-76.92639 39.013189999999994),0,0,0,0,0,0,0,0.0,0.0
49,Gate13,-76.92005,39.00685,,POINT (-76.92005 39.00685),0,0,0,0,0,0,0,0.0,0.0
50,Gate14,-76.92005,39.00050999999999,,POINT (-76.92005 39.00050999999999),0,0,0,0,0,0,19,190.0,190.0
51,Gate15,-76.92005,38.99417,,POINT (-76.92005 38.99417),0,0,0,0,0,0,90,900.0,900.0
52,Gate16,-76.92005,38.98783,,POINT (-76.92005 38.98783),0,0,0,0,0,0,120,1200.0,1200.0
53,Gate17,-76.92005,38.981489999999994,,POINT (-76.92005 38.981489999999994),0,0,0,0,0,0,44,440.0,440.0
54,Gate18,-76.92005,38.97515,,POINT (-76.92005 38.97515),0,0,0,0,0,0,0,0.0,0.0
55,Gate19,-76.92639,38.968810000000005,,POINT (-76.92639 38.968810000000005),0,0,0,0,0,0,0,0.0,0.0
56,Gate20,-76.93272999999999,38.968810000000005,,POINT (-76.93272999999999 38.968810000000005),0,0,0,0,0,0,20,200.0,200.0
57,Gate21,-76.93907,38.968810000000005,,POINT (-76.93907 38.968810000000005),0,0,0,0,0,0,179,1790.0,1790.0
58,Gate22,-76.94541,38.968810000000005,,POINT (-76.94541 38.968810000000005),0,0,0,0,0,0,190,1900.0,1900.0
59,Gate23,-76.95175,38.968810000000005,,POINT (-76.95175 38.968810000000005),0,0,0,0,0,0,2,20.0,20.0
60,Gate24,-76.95809,38.968810000000005,,POINT (-76.95809 38.968810000000005),0,0,0,0,0,0,0,0.0,0.0
