name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,346,3370210920,,,0,,,,116.2776061,39.8924226,,,
,347,3370210925,,,0,,,,116.2776106,39.8923405,,,
,348,3370210930,,,0,,,,116.2843587,39.8925122,,,
,349,3370210932,,,0,,,,116.2850956,39.8927118,,,
,350,3370210933,,,0,,,,116.2853599,39.8928071,,,
,351,3370210934,,,0,,,,116.2776169,39.8922884,,,
,352,3370210939,,,0,,,,116.27762,39.8922325,,,
,353,3370210946,,,0,,,,116.2847192,39.8925912,,,
,354,3370210947,,,0,,,,116.2776222,39.8921812,,,
,355,3370210953,,,0,,,,116.2776197,39.8921203,,,
,356,3370210957,,,0,,,,116.2845171,39.8922614,,,
,357,3370210958,,,0,,,,116.2848627,39.8923472,,,
,358,3370210959,,,0,,,,116.2852022,39.8924587,,,
,359,3370210960,,,0,,,,116.2854634,39.8925678,,,
,360,3370210961,,,0,,,,116.2856931,39.8926731,,,
,361,3370235438,,,0,,,,116.2835599,39.8921252,,,
,362,3370235444,,,0,,,,116.2835596,39.892072,,,
,363,3370235445,,,0,,,,116.2848077,39.8922825,,,
,364,3370235446,,,0,,,,116.2844275,39.8921484,,,
,365,3370235452,,,0,,,,116.2835575,39.8920166,,,
,366,3370235459,,,0,,,,116.2829345,39.8919219,,,
,367,3370235467,,,0,,,,116.2829278,39.8918513,,,
,368,3370235468,,,0,,,,116.2776307,39.8920441,,,
,369,3370235469,,,0,,,,116.277639,39.8919934,,,
,370,3370235470,,,0,,,,116.2776334,39.8919362,,,
,371,3370235471,,,0,,,,116.280724,39.8918883,,,
,372,3370235472,,,0,,,,116.2807323,39.8918227,,,
,373,3370235473,,,0,,,,116.2780547,39.8918523,,,
,374,3370235474,,,0,,,,116.2780629,39.8917931,,,
,375,3370244602,,,0,,,,116.2821522,39.8938317,,,
,376,3370244610,,,0,,,,116.2843138,39.8935351,,,
,377,3370244611,,,0,,,,116.2845649,39.8934182,,,
,378,3370244612,,,0,,,,116.2848328,39.893309,,,
,379,3370244613,,,0,,,,116.2849115,39.8932897,,,
,380,3370244614,,,0,,,,116.2821573,39.893761,,,
,381,3370244622,,,0,,,,116.2842937,39.8934914,,,
,382,3370244623,,,0,,,,116.2821573,39.8936891,,,
,383,3370244630,,,0,,,,116.2825359,39.8936366,,,
,384,3370244637,,,0,,,,116.2815598,39.8934413,,,
,385,3370244642,,,0,,,,116.2846771,39.8932602,,,
,386,3370244643,,,0,,,,116.2849868,39.8932037,,,
,387,3370244644,,,0,,,,116.2850471,39.893196,,,
,388,3370244645,,,0,,,,116.2815632,39.8933501,,,
,389,3370258904,,,0,,,,116.281977,39.8914783,,,
,390,3370258905,,,0,,,,116.2733722,39.8913449,,,
,391,3370258906,,,0,,,,116.2733772,39.8912999,,,
,392,3370258907,,,0,,,,116.2820283,39.8914172,,,
,393,3370258908,,,0,,,,116.2818545,39.8913625,,,
,394,3370258909,,,0,,,,116.2733831,39.8912472,,,
,395,3370258910,,,0,,,,116.2733797,39.8911869,,,
,396,3370258911,,,0,,,,116.281829,39.891301,,,
,397,3370258912,,,0,,,,116.2816268,39.8912448,,,
,398,3370258913,,,0,,,,116.2733803,39.8911305,,,
,399,3370258914,,,0,,,,116.2733803,39.8910766,,,
,400,3370258915,,,0,,,,116.2818397,39.8911868,,,
,401,3370258916,,,0,,,,116.2818179,39.8911265,,,
,402,3370258917,,,0,,,,116.27339,39.8910118,,,
,403,3370258918,,,0,,,,116.2733083,39.8908821,,,
,404,3370258920,,,0,,,,116.2746631,39.8910291,,,
,405,3370258921,,,0,,,,116.2749818,39.890984,,,
,406,3370258922,,,0,,,,116.2814295,39.8910601,,,
,407,3370258923,,,0,,,,116.2814245,39.8910094,,,
,408,3370258924,,,0,,,,116.2749846,39.8909273,,,
,409,3370258925,,,0,,,,116.2749875,39.8908711,,,
,410,3370258926,,,0,,,,116.2814256,39.8909407,,,
,411,3370258927,,,0,,,,116.2814259,39.8908898,,,
,412,3370258928,,,0,,,,116.2749901,39.8908187,,,
,413,3370266927,,,0,,,,116.2802553,39.8906846,,,
,414,3370266930,,,0,,,,116.2814469,39.8907135,,,
,415,3370266931,,,0,,,,116.2823125,39.890851,,,
,416,3370266932,,,0,,,,116.2826607,39.8909306,,,
,417,3370266933,,,0,,,,116.2829319,39.8910244,,,
,418,3370266938,,,0,,,,116.2802597,39.8906081,,,
,419,3370266945,,,0,,,,116.2802637,39.8905401,,,
,420,3370266946,,,0,,,,116.2748612,39.8906277,,,
,421,3370266947,,,0,,,,116.2748612,39.8905511,,,
,422,3370266948,,,0,,,,116.2748612,39.8904744,,,
,423,3370285947,,,0,,,,116.2844744,39.8919234,,,
,424,3370285954,,,0,,,,116.2833172,39.891277,,,
,425,3370285961,,,0,,,,116.2828957,39.8911822,,,
,426,3370285965,,,0,,,,116.282596,39.8911321,,,
,427,3370285972,,,0,,,,116.2830447,39.891407,,,
,428,3370285973,,,0,,,,116.2837445,39.8916562,,,
,429,3370285974,,,0,,,,116.283942,39.891723,,,
,430,3370285982,,,0,,,,116.2828488,39.8914276,,,
,431,3370285983,,,0,,,,116.2833276,39.8915547,,,
,432,3370285986,,,0,,,,116.282524,39.8913839,,,
,433,3370285989,,,0,,,,116.282966,39.8915033,,,
,434,3370286493,,,0,,,,116.2857256,39.8926296,,,
,435,3370286503,,,0,,,,116.2872979,39.8928926,,,
,436,3370286511,,,0,,,,116.2872958,39.8929383,,,
,437,3370286512,,,0,,,,116.2856143,39.8929879,,,
,438,3370286513,,,0,,,,116.2858319,39.8929969,,,
,439,3370286517,,,0,,,,116.2873451,39.8930612,,,
,440,3370286519,,,0,,,,116.2864631,39.8930547,,,
,441,3370286525,,,0,,,,116.287503,39.8929822,,,
,442,3370286526,,,0,,,,116.2856488,39.8931182,,,
,443,3370293479,,,0,,,,116.2792731,39.8937783,,,
,444,3370293480,,,0,,,,116.2792741,39.8937075,,,
,445,3370293481,,,0,,,,116.279275,39.8936411,,,
,446,3370293482,,,0,,,,116.2868058,39.8929746,,,
,447,3370293483,,,0,,,,116.287894,39.8928973,,,
,448,3370297472,,,0,,,,116.2884,39.8929023,,,
,449,3370297473,,,0,,,,116.2886126,39.8929061,,,
,450,3370297474,,,0,,,,116.2893191,39.89291,,,
,451,3370297475,,,0,,,,116.2886143,39.8929292,,,
,452,3370297476,,,0,,,,116.2892055,39.8929807,,,
,453,3411330095,,,0,,,,116.3254671,39.895144,,,
,454,3411330096,,,0,,,,116.3257105,39.8952382,,,
,455,3411330104,,,0,,,,116.3299037,39.8954412,,,
