name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
,25,97638896,403,225,1,112.71924653794696,1,29,,residential,6,"LINESTRING (132.7170097 34.4065, 132.7171008 34.4063143, 132.7171322 34.4061604, 132.7171802 34.4060995, 132.7172411 34.4060828, 132.7173204 34.4060843, 132.7176103 34.4061452, 132.717768 34.4061494, 132.717798 34.4061015, 132.7178089 34.4060673)",auto;bike;walk,1
,26,97638896,225,403,1,112.71924653794696,1,29,,residential,6,"LINESTRING (132.7178089 34.4060673, 132.717798 34.4061015, 132.717768 34.4061494, 132.7176103 34.4061452, 132.7173204 34.4060843, 132.7172411 34.4060828, 132.7171802 34.4060995, 132.7171322 34.4061604, 132.7171008 34.4063143, 132.7170097 34.4065)",auto;bike;walk,1
,27,97638896,225,13,1,6.968405887178433,1,29,,residential,6,"LINESTRING (132.7178089 34.4060673, 132.7177858 34.4060076)",auto;bike;walk,1
,28,97638896,13,225,1,6.968405887178433,1,29,,residential,6,"LINESTRING (132.7177858 34.4060076, 132.7178089 34.4060673)",auto;bike;walk,1
下見学生街1号線,29,97638938,404,185,1,74.54564059383239,1,29,,unclassified,11,"LINESTRING (132.7128169 34.4065, 132.7127276 34.4063314, 132.71267 34.4061232, 132.7126471 34.405851)",auto;bike;walk,1
下見学生街1号線,30,97638938,185,404,1,74.54564059383239,1,29,,unclassified,11,"LINESTRING (132.7126471 34.405851, 132.71267 34.4061232, 132.7127276 34.4063314, 132.7128169 34.4065)",auto;bike;walk,1
,31,97655164,3,405,1,112.94122990918873,1,29,,tertiary,5,"LINESTRING (132.7084428 34.4007227, 132.7080603 34.4006438, 132.7079364 34.4006021, 132.7078125 34.4005333, 132.7074 34.4002287)",auto;bike;walk,1
,32,97655164,405,3,1,112.94122990918876,1,29,,tertiary,5,"LINESTRING (132.7074 34.4002287, 132.7078125 34.4005333, 132.7079364 34.4006021, 132.7080603 34.4006438, 132.7084428 34.4007227)",auto;bike;walk,1
アカシア通り,33,115040763,17,15,1,197.55435924468557,1,29,,tertiary,5,"LINESTRING (132.714335 34.397498, 132.714695 34.39738, 132.715243 34.397142, 132.71566 34.396942, 132.715899 34.396877, 132.716109 34.396873, 132.7163105 34.3968894)",auto;bike;walk,1
アカシア通り,34,115040763,15,17,1,197.55435924468557,1,29,,tertiary,5,"LINESTRING (132.7163105 34.3968894, 132.716109 34.396873, 132.715899 34.396877, 132.71566 34.396942, 132.715243 34.397142, 132.714695 34.39738, 132.714335 34.397498)",auto;bike;walk,1
アカシア通り,35,115040801,18,17,1,114.68182576452142,1,29,,tertiary,5,"LINESTRING (132.713104 34.397543, 132.713296 34.397567, 132.713603 34.397599, 132.713901 34.39759, 132.714335 34.397498)",auto;bike;walk,1
アカシア通り,36,115040801,17,18,1,114.68182576452142,1,29,,tertiary,5,"LINESTRING (132.714335 34.397498, 132.713901 34.39759, 132.713603 34.397599, 132.713296 34.397567, 132.713104 34.397543)",auto;bike;walk,1
アカシア通り,37,115040824,19,122,1,22.455364410500863,1,29,,tertiary,5,"LINESTRING (132.711129 34.397062, 132.7109031 34.3969843)",auto;bike;walk,1
アカシア通り,38,115040824,122,19,1,22.455364410500863,1,29,,tertiary,5,"LINESTRING (132.7109031 34.3969843, 132.711129 34.397062)",auto;bike;walk,1
アカシア通り,39,115040824,122,283,1,43.37317294413569,1,29,,tertiary,5,"LINESTRING (132.7109031 34.3969843, 132.710716 34.39692, 132.7104677 34.3968324)",auto;bike;walk,1
アカシア通り,40,115040824,283,122,1,43.37317294413569,1,29,,tertiary,5,"LINESTRING (132.7104677 34.3968324, 132.710716 34.39692, 132.7109031 34.3969843)",auto;bike;walk,1
